국문	영어
고유번호	pnu
법정동코드	ldCode
법정동명	ldCodeNm
대장구분코드	regstrSeCode
대장구분명	regstrSeCodeNm
지번	mnnmSlno
도면번호	manageNo
저촉여부코드	cnflcAt
저촉여부	cnflcAtNm
용도지역지구코드	prposAreaDstrcCode
용도지역지구명	prposAreaDstrcCodeNm
등록일자	registDt
데이터기준일자	lastUpdtDt
결과코드	resultCode
결과메시지	resultMsg
한 페이지 결과 수	numOfRows
페이지 번호	pageNo
전체 결과 수	totalCount
수신 문서양식	type
지역코드	region_cd
시도코드	sido_cd
시군구코드	sgg_cd
읍면동코드	umd_cd
리코드	ri_cd
지역코드_주민	locatjumin_cd
지역코드_지적	locatjijuk_cd
지역주소명	locatadd_nm
서열	locat_order
비고	locat_rm
상위지역코드	locathigh_cd
최하위지역명	locallow_nm
생성일	adpt_de
결과코드	resultCode
결과메시지	resultMsg
한 페이지 결과 수	numOfRows
페이지 번호	pageNo
전체 결과 수	totalCount
GIS건물통합식별번호	gisIdntfcNo
고유번호	pnu
법정동코드	ldCode
법정동명	ldCodeNm
특수지구분코드	regstrSeCode
특수지구분명	regstrSeCodeNm
지번	mnnmSlno
건물식별번호	buldIdntfcNo
집합건물구분코드	agbldgSeCode
집합건물구분	agbldgSeCodeNm
대장종류코드	buldKndCode
대장종류	buldKndCodeNm
건물명	buldNm
건물동명	buldDongNm
건물연면적(㎡)	buldTotar
건축물구조코드	strctCode
건축물구조명	strctCodeNm
주요용도코드	mainPrposCode
주요용도명	mainPrposCodeNm
건물높이	buldHg
지상층수	groundFloorCo
지하층수	undgrndFloorCo
허가일자	prmisnDe
사용승인일자	useConfmDe
건물연령	buldAge
연령대구분코드	agrdeSeCode
연령대구분명	agrdeSeCodeNm
연령대5계급코드	agrde5ClassSeCode
연령대5계급명	agrde5ClassSeCodeNm
데이터기준일자	lastUpdtDt
결과코드	resultCode
결과메시지	resultMsg
한 페이지 결과 수	numOfRows
페이지 번호	pageNo
전체 결과 수	totalCount
거래금액	거래금액
건축년도	건축년도
년	년
도로명	도로명
